,lat,lon
0,29.93343169762183,121.52191203576041
1,29.917960190547284,121.67761772901866
2,29.99566810947354,121.63105140031746
3,29.903782205463212,121.80648941609739
4,29.946198650241886,122.13856415641256
5,29.97631671125287,122.32424224789283
6,29.888899396668076,121.51818994230236
7,29.88881857832625,121.5575507130304
8,29.81244012408826,121.55098397693115
9,29.828868672148992,121.54531542136405
10,29.873761277210072,121.54977865379574
11,29.870572480356024,121.55286833024206
12,29.888821140845042,121.5668561590231
13,29.86321575194802,121.61254797916493
14,29.88237957981921,121.64654098563207
15,29.874159691012693,121.60684627824466
16,29.861544136479374,121.61570349866595
17,29.887968384521518,121.63531937627808
18,29.868964594031468,121.60678745796449
19,29.864103464318294,121.60316915273488
20,29.831542637073454,121.60670437266874
21,29.86422007566243,121.60974574290975
22,29.865462515624706,121.62162497742041
23,29.865500076277158,121.62138135543975
24,29.80291037783179,122.15898611309755
25,29.802916093999126,122.15891745022
26,29.708489248867856,121.42794040645339
27,29.705427648215334,121.40784961060488
28,29.724571031414392,121.54933623621764
29,29.58737792277637,120.84111803236122
30,29.58662161147235,120.88581344399692
31,29.45742239642252,121.86840393531934
32,28.900801315941255,121.64794201289021
33,28.90077597962257,121.64792318856404
34,28.632546602569395,121.40479504229211
35,30.113754187957653,121.53936018508321
